latitude,longitude
48.64,-121.68039465547123
48.64,-121.66039465547124
48.64,-121.64039465547124
48.64,-121.62039465547124
48.64,-121.60039465547125
48.64,-121.58039465547125
48.64,-121.56039465547126
48.64,-121.54039465547126
48.64,-121.52039465547126
48.64,-121.50039465547127
48.64,-121.48039465547127
48.64,-121.46039465547128
48.64,-121.44039465547128
48.64,-121.42039465547128
48.64,-121.40039465547129
48.64,-121.38039465547129
48.64,-121.3603946554713
48.64,-121.3403946554713
48.64,-121.3203946554713
48.64,-121.30039465547131
48.64,-121.28039465547131
48.64,-121.26039465547132
48.64,-121.24039465547132
48.64,-121.22039465547132
48.64,-121.20039465547133
48.64,-121.18039465547133
48.64,-121.16039465547134
48.64,-121.14039465547134
48.64,-121.12039465547134
48.62,-123.68039465547083
48.62,-123.66039465547084
48.62,-123.64039465547084
48.62,-123.62039465547085
48.62,-123.60039465547085
48.62,-123.58039465547085
48.62,-123.56039465547086
48.62,-123.54039465547086
48.62,-123.52039465547087
48.62,-123.50039465547087
48.62,-123.48039465547087
48.62,-123.46039465547088
48.62,-123.44039465547088
48.62,-123.42039465547089
48.62,-123.40039465547089
48.62,-123.38039465547089
48.62,-123.3603946554709
48.62,-123.3403946554709
48.62,-123.32039465547091
48.62,-123.30039465547091
48.62,-123.28039465547091
48.62,-123.26039465547092
48.62,-123.24039465547092
48.62,-123.22039465547093
48.62,-123.20039465547093
48.62,-123.18039465547093
48.62,-123.16039465547094
48.62,-123.14039465547094
48.62,-123.12039465547095
48.62,-123.10039465547095
48.62,-123.08039465547095
48.62,-123.06039465547096
48.62,-123.04039465547096
48.62,-123.02039465547097
48.62,-123.00039465547097
48.62,-122.98039465547097
48.62,-122.96039465547098
48.62,-122.94039465547098
48.62,-122.92039465547099
48.62,-122.90039465547099
48.62,-122.88039465547099
48.62,-122.860394655471
48.62,-122.840394655471
48.62,-122.82039465547101
48.62,-122.80039465547101
48.62,-122.78039465547101
48.62,-122.76039465547102
48.62,-122.74039465547102
48.62,-122.72039465547103
48.62,-122.70039465547103
48.62,-122.68039465547103
48.62,-122.66039465547104
48.62,-122.64039465547104
48.62,-122.62039465547105
48.62,-122.60039465547105
48.62,-122.58039465547105
48.62,-122.56039465547106
48.62,-122.54039465547106
48.62,-122.52039465547107
48.62,-122.50039465547107
48.62,-122.48039465547107
48.62,-122.46039465547108
48.62,-122.44039465547108
48.62,-122.42039465547109
48.62,-122.40039465547109
48.62,-122.38039465547109
48.62,-122.3603946554711
48.62,-122.3403946554711
48.62,-122.32039465547111
48.62,-122.30039465547111
48.62,-122.28039465547111
48.62,-122.26039465547112
