latitude,longitude
47.83333330,-121.69999940
47.95335007,-121.97603665
48.30000000,-121.96666670
48.30000000,-122.30000000
48.20000000,-122.45000000
48.10000000,-122.53333330
48.00000000,-122.50000000
47.99999530,-122.58332690
47.91666670,-122.88333360
47.38339500,-123.00001780
47.38329220,-123.16680110
47.25010390,-123.28323420
46.83334060,-123.23330890
46.66669838,-122.29996531
46.91675390,-121.96656330
47.00000080,-121.85002080
47.35001310,-121.51668360
47.51667000,-121.51667280
