latitude,longitude,elevation
61.157757300,-150.003581000,36.6
61.157916300,-150.005354400,40.2
61.158119900,-150.007107900,41.6
61.158367600,-150.008836800,39.1
61.158658700,-150.010536400,39.1
61.158992300,-150.012201800,39.7
61.159367600,-150.013828600,38.5
61.159783400,-150.015412400,45.0
61.160238700,-150.016948700,45.9
61.160732100,-150.018433500,54.3
61.161262300,-150.019862500,49.9
61.161827800,-150.021231900,37.5
61.162427100,-150.022538000,32.1
61.163058400,-150.023777200,20.5
61.163720200,-150.024946200,26.2
61.164410400,-150.026041900,25.2
61.165127200,-150.027061100,24.3
61.165868700,-150.028001300,24.5
61.166632800,-150.028859800,26.1
61.167417500,-150.029634400,37.3
61.168220500,-150.030322900,37.3
61.169039700,-150.030923500,36.3
61.169872800,-150.031434700,34.1
61.170717700,-150.031854900,35.2
61.171572000,-150.032183200,33.5
61.172433400,-150.032418600,19.1
61.173299300,-150.032560500,24.7
61.174167800,-150.032608400,27.2
61.175036300,-150.032562400,24.7
61.175902500,-150.032422400,24.0
61.176763900,-150.032188800,23.1
61.177618300,-150.031862300,23.6
61.178463400,-150.031443700,20.8
61.179296900,-150.030934200,13.2
61.180116400,-150.030335000,3.6
61.180919700,-150.029647800,10.9
61.181704700,-150.028874400,14.8
61.182469200,-150.028017000,20.5
61.183211100,-150.027077700,22.7
61.183928300,-150.026059100,25.0
61.184619000,-150.024964000,24.7
61.185281100,-150.023795200,24.3
61.185912900,-150.022556100,27.1
61.186512700,-150.021249900,32.8
61.187078600,-150.019880200,44.0
61.187609300,-150.018450700,53.4
61.188103100,-150.016965300,55.7
61.188558800,-150.015428100,53.2
61.188975000,-150.013843300,51.6
61.189350700,-150.012215200,38.5
61.189684600,-150.010548400,37.2
61.189976000,-150.008847400,38.7
61.190223900,-150.007117000,35.7
61.190427700,-150.005361700,36.8
61.190586800,-150.003586600,34.4
61.190700800,-150.001796700,33.7
61.190769300,-149.999996700,32.4
61.190792200,-149.998191700,30.7
61.207412100,-149.998191700,0.0
61.207366400,-149.994579800,0.0
61.207229300,-149.990977900,0.0
61.207001200,-149.987396000,0.0
61.206682800,-149.983844100,0.0
61.206275000,-149.980332100,0.0
61.205778800,-149.976869400,0.0
61.205195900,-149.973465900,0.0
61.204527600,-149.970131000,0.0
61.203776000,-149.966873700,0.0
61.202943200,-149.963703100,0.0
61.202031400,-149.960627800,0.0
61.201043300,-149.957656400,7.0
61.199981500,-149.954796800,16.1
61.198849100,-149.952057200,23.5
61.197649200,-149.949444600,24.7
61.196385200,-149.946966500,26.3
61.195060500,-149.944629400,23.6
61.193678700,-149.942439600,24.3
61.192243700,-149.940403100,25.5
61.190759500,-149.938525300,22.6
61.189230200,-149.936811500,20.2
61.187659900,-149.935266000,15.5
61.186052800,-149.933892900,17.5
61.184413500,-149.932696000,17.7
61.182746500,-149.931678500,20.8
61.181056100,-149.930843000,21.4
61.179347100,-149.930191800,18.2
61.177624100,-149.929726500,22.1
61.175891700,-149.929448400,26.5
61.174154700,-149.929358100,25.2
61.172417800,-149.929456000,24.2
61.170685700,-149.929741600,27.4
61.168963200,-149.930214200,25.7
61.167254900,-149.930872500,25.7
61.165565300,-149.931714700,20.7
61.163899200,-149.932738600,24.7
61.162261000,-149.933941400,25.7
61.160655300,-149.935319700,31.8
61.159086400,-149.936870000,28.9
61.157558600,-149.938588100,28.1
61.156076000,-149.940469300,28.8
61.154642700,-149.942508500,30.7
61.153262800,-149.944700200,38.8
61.151939900,-149.947038500,40.6
61.150677600,-149.949517100,38.8
61.149479500,-149.952129200,36.9
61.148348900,-149.954867800,29.1
61.147289000,-149.957725300,29.2
61.146302500,-149.960694100,27.5
61.145392400,-149.963765800,27.7
61.144561100,-149.966932300,35.1
61.143810900,-149.970184900,49.0
61.143143900,-149.973514500,49.0
61.142562100,-149.976912000,44.3
61.142067000,-149.980368400,44.9
61.141660000,-149.983873600,27.0
61.141342200,-149.987418500,25.8
61.141114600,-149.990993000,30.5
61.140977800,-149.994587300,54.4
61.140932100,-149.998191700,49.6
61.140977800,-150.001796000,54.7
61.141114600,-150.005390300,51.9
61.141342200,-150.008964800,66.8
61.141660000,-150.012509700,78.5
61.142067000,-150.016015000,77.4
61.142562100,-150.019471300,77.1
61.143143900,-150.022868800,70.1
61.143810900,-150.026198500,71.3
61.144561000,-150.029451000,78.7
61.145392400,-150.032617500,74.7
61.146302500,-150.035689300,79.4
61.147289000,-150.038658100,74.7
61.148348900,-150.041515500,58.9
61.149479500,-150.044254100,70.4
61.150677600,-150.046866200,81.6
61.151939900,-150.049344800,70.9
61.153262800,-150.051683100,67.1
61.154642800,-150.053874800,66.1
61.156076000,-150.055914100,56.9
61.157558600,-150.057795300,49.4
61.159086400,-150.059513300,38.3
61.160655300,-150.061063600,9.3
61.162261000,-150.062442000,14.9
61.163899200,-150.063644700,10.2
61.165565300,-150.064668600,11.1
61.167254900,-150.065510900,0.0
61.168963200,-150.066169200,0.0
61.170685700,-150.066641800,0.0
61.172417800,-150.066927400,0.0
61.174154700,-150.067025200,0.0
61.175891700,-150.066934900,0.0
61.177624100,-150.066656800,0.0
61.179347100,-150.066191500,0.0
61.181056100,-150.065540300,0.0
61.182746500,-150.064704800,0.0
61.184413500,-150.063687300,0.0
61.186052800,-150.062490400,0.0
61.187659900,-150.061117400,0.0
61.189230200,-150.059571800,0.0
61.190759500,-150.057858000,0.0
61.192243800,-150.055980200,0.0
61.193678700,-150.053943700,0.0
61.195060400,-150.051754000,0.0
61.196385200,-150.049416900,0.0
61.197649200,-150.046938700,0.0
61.198849200,-150.044326100,0.0
61.199981500,-150.041586500,0.0
61.201043300,-150.038726900,0.0
61.202031400,-150.035755600,0.0
61.202943200,-150.032680300,0.0
61.203776000,-150.029509600,0.0
61.204527600,-150.026252400,0.0
61.205195900,-150.022917400,0.0
61.205778900,-150.019513900,0.0
61.206275000,-150.016051300,0.0
61.206682800,-150.012539200,0.0
61.207001200,-150.008987300,0.0
61.207229300,-150.005405500,0.0
61.207366400,-150.001803500,0.0
61.207412100,-149.998191700,0.0
61.224032000,-149.998191700,0.0
61.223963400,-149.992770900,0.0
61.223757600,-149.987365400,0.0
61.223415300,-149.981989800,0.0
