latitude,longitude
42.52809778,-84.16722639
42.54458222,-84.15586
42.56082528,-84.14387306
42.576815,-84.13127417
42.59253806,-84.11807306
42.60798278,-84.10427917
42.62313583,-84.08990278
42.63798667,-84.074955
42.65252361,-84.0594475
42.66673389,-84.04339222
42.68060778,-84.02680028
42.6941325,-84.00968583
42.7073,-83.99206111
42.72009778,-83.97393972
42.73251667,-83.95533667
42.74454722,-83.93626528
42.75617889,-83.91674083
42.7674025,-83.89677806
42.77821028,-83.87639333
42.78859306,-83.85560167
42.79854222,-83.83441944
42.80805028,-83.81286417
42.81710944,-83.7909525
42.82571361,-83.76870111
42.83385417,-83.7461275
42.84096361,-83.72498806
42.84835944,-83.70130056
42.85525278,-83.67733111
42.86163667,-83.65310083
42.86750528,-83.62862833
42.87285528,-83.603935
42.87768194,-83.57904083
42.88198056,-83.55396667
42.88574778,-83.52873333
42.88897972,-83.50336194
42.89167556,-83.47787389
42.89383139,-83.45228944
42.89544611,-83.42663083
42.89780194,-83.36676833
42.89609611,-83.31339194
42.89460889,-83.28504528
42.89246139,-83.25677861
42.88965583,-83.22861944
42.88619639,-83.20059667
42.87734222,-83.14152861
42.86604278,-83.09109472
42.86013667,-83.06705611
42.85373278,-83.04325694
42.84683667,-83.019715
42.83945389,-82.99645028
42.83158944,-82.97348167
42.82325139,-82.95082667
42.81444556,-82.92850361
42.80517889,-82.90653083
42.79545833,-82.88492528
42.78529333,-82.86370472
42.77469056,-82.84288528
42.76365889,-82.822485
42.75220722,-82.80251833
42.74034583,-82.78300139
42.72808194,-82.76395028
42.71542806,-82.74538028
42.70239222,-82.72730472
42.68898583,-82.70973833
42.67521889,-82.69269556
42.66110333,-82.67618861
42.64665028,-82.66023056
42.63139111,-82.64434417
42.61579556,-82.629075
42.59987944,-82.61442917
42.58365528,-82.60041833
42.56713778,-82.58705361
42.55034083,-82.57434667
42.53327833,-82.5623075
42.51596528,-82.55094472
42.50079972,-82.54167111
42.48189889,-82.53096611
42.46276333,-82.52105639
42.44341,-82.5119525
42.42385722,-82.50366028
42.40412528,-82.4961875
42.36408833,-82.48369028
42.32239306,-82.47436083
42.30386278,-82.47137889
42.28527889,-82.46909833
42.26665389,-82.46752028
42.22488306,-82.46657889
42.183205,-82.46906417
42.16527167,-82.47123583
42.14738861,-82.47405667
42.12956778,-82.47752278
42.04816472,-82.50192556
42.03033639,-82.50921972
42.01266583,-82.51717611
41.99516778,-82.52578694
41.97785444,-82.53504472
41.96074139,-82.5449425
41.94383889,-82.55547139
41.92716278,-82.56662333
41.91072444,-82.57838889
41.89453667,-82.59075861
41.87861139,-82.60372306
41.8629625,-82.61727083
41.84760056,-82.63139194
41.83253778,-82.64607528
41.81778528,-82.66130833
41.803355,-82.67707944
41.78925833,-82.69337639
41.775505,-82.71018611
41.76210583,-82.727495
41.74907222,-82.74529111
41.73641278,-82.76355889
41.71553972,-82.79604667
41.70188833,-82.81910361
41.68880972,-82.84273944
41.67631861,-82.86692889
41.6644275,-82.89164611
41.70961639,-82.95772472
41.71780333,-82.96976028
41.71624278,-83.05293
41.71136611,-83.285075
41.70893361,-83.39533361
41.70630194,-83.50656083
41.70356111,-83.61814472
41.69793889,-83.83994111
41.69641278,-83.89694056
41.77722639,-83.98487
41.78750694,-83.99584778
41.83269778,-84.04595528
41.91947194,-84.14254194
41.970975,-84.14389556
42.21830889,-84.15401917
42.30172583,-84.15762889
42.3851425,-84.16112472
42.52142056,-84.16701944
