latitude,longitude,elevation
45.444512600,-75.643993000,89.5
45.444627300,-75.642760300,85.4
45.444696200,-75.641520800,85.8
45.444719200,-75.640277800,89.7
45.461382700,-75.640277800,53.2
45.461336700,-75.637791000,51.9
45.461198900,-75.635311200,53.0
45.460969500,-75.632845400,54.5
45.460649400,-75.630400200,56.0
45.460239300,-75.627982700,56.7
45.459740600,-75.625599600,57.9
45.459154700,-75.623257600,57.7
45.458483100,-75.620962900,58.9
45.457728000,-75.618722200,68.1
45.456891300,-75.616541400,70.1
45.455975600,-75.614426600,90.4
45.454983500,-75.612383800,82.9
45.453917700,-75.610418300,82.3
45.452781300,-75.608535500,79.1
45.451577500,-75.606740400,87.1
45.450309600,-75.605038100,89.3
45.448981100,-75.603432900,87.2
45.447595900,-75.601929300,88.4
45.446157700,-75.600531100,88.0
45.444670400,-75.599242100,83.4
45.443138300,-75.598065700,77.6
45.441565400,-75.597004900,68.9
45.439956000,-75.596062500,71.7
45.438314600,-75.595241100,71.9
45.436645500,-75.594542600,69.1
45.434953300,-75.593968900,68.0
45.433242700,-75.593521500,70.9
45.431518100,-75.593201600,70.0
45.429784300,-75.593009900,60.1
45.428045700,-75.592946900,69.3
45.426307400,-75.593012800,65.4
45.424573600,-75.593207400,64.0
45.422849300,-75.593530100,61.5
45.421139000,-75.593980200,59.9
45.419447300,-75.594556400,61.9
45.417778800,-75.595257400,63.3
45.416138000,-75.596081100,55.8
45.414529400,-75.597025500,54.7
45.412957300,-75.598088100,59.9
45.411425900,-75.599266200,63.6
45.409939600,-75.600556500,61.4
45.408502300,-75.601955700,60.9
45.407118000,-75.603460100,59.8
45.405790600,-75.605065700,61.9
45.404523700,-75.606768300,63.9
45.403320900,-75.608563100,64.9
45.402185500,-75.610445500,66.9
45.401120700,-75.612410200,67.9
45.400129500,-75.614452100,68.9
45.399214700,-75.616565500,70.6
45.398378900,-75.618744700,70.9
45.397624600,-75.620983600,69.9
45.396953800,-75.623276200,71.1
45.396368500,-75.625616000,73.9
45.395870300,-75.627996700,75.9
45.395460700,-75.630411600,76.9
45.395140900,-75.632853900,77.9
45.394911800,-75.635317000,77.9
45.394774100,-75.637793900,78.9
45.394728200,-75.640277800,80.9
45.394774100,-75.642761600,82.3
45.394911800,-75.645238500,83.9
45.395140900,-75.647701700,84.9
45.395460700,-75.650144000,85.9
45.395870300,-75.652558900,83.4
45.396368400,-75.654939500,80.9
45.396953800,-75.657279400,80.0
45.397624600,-75.659571900,82.0
45.398379000,-75.661810900,77.6
45.399214700,-75.663990000,73.4
45.400129500,-75.666103500,66.7
45.401120700,-75.668145300,60.5
45.402185500,-75.670110000,59.9
45.403320900,-75.671992500,62.1
45.404523700,-75.673787300,62.0
45.405790600,-75.675489800,63.3
45.407118100,-75.677095400,62.9
45.408502300,-75.678599800,64.9
45.409939600,-75.679999100,69.3
45.411425900,-75.681289400,71.9
45.412957300,-75.682467400,65.8
45.414529400,-75.683530100,65.8
45.416138000,-75.684474400,71.6
45.417778800,-75.685298200,71.9
45.419447300,-75.685999100,68.1
45.421139000,-75.686575300,59.4
45.422849300,-75.687025500,71.5
45.424573600,-75.687348200,70.6
45.426307400,-75.687542800,68.4
45.428045700,-75.687608700,63.7
45.429784300,-75.687545700,60.7
45.431518100,-75.687354000,59.8
45.433242700,-75.687034000,59.8
45.434953300,-75.686586600,58.4
