latitude,longitude,elevation
41.691273500,-71.418771900,6.4	
41.690953200,-71.421069900,5.6	
41.690723800,-71.423387600,9.5	
41.690585900,-71.425718300,9.0	
41.690539800,-71.428055600,8.7	
41.690585900,-71.430392900,9.1	
41.690723800,-71.432723600,9.6	
41.690953200,-71.435041300,0.7	
41.691273500,-71.437339300,10.6	
41.691683700,-71.439611500,9.8	
41.692182600,-71.441851400,6.5	
41.692768800,-71.444052800,1.2	
41.693440500,-71.446209600,0.5	
41.694195900,-71.448315800,0.6	
41.695032800,-71.450365800,0.5	
41.695948700,-71.452353700,0.6	
41.696941000,-71.454274100,0.5	
41.698006900,-71.456121900,3.6	
41.699143500,-71.457892100,8.6	
41.700347500,-71.459579900,8.3	
41.701615500,-71.461180700,4.9	
41.702943900,-71.462690200,6.6	
41.704329300,-71.464104600,11.4	
41.705767500,-71.465419900,14.7	
41.707254800,-71.466632800,15.6	
41.708787000,-71.467740000,14.4	
41.710359800,-71.468738700,12.9	
41.711969200,-71.469626200,12.7	
41.713610600,-71.470400200,13.6	
41.715279600,-71.471058800,14.9	
41.716971900,-71.471600200,10.5	
41.718682700,-71.472023000,8.5	
41.720407300,-71.472326100,9.2	
41.722141500,-71.472508800,8.8	
41.723880300,-71.472570600,9.2	
41.725619100,-71.472511200,7.6	
41.727353400,-71.472330900,13.4	
41.729078400,-71.472030100,16.2	
41.730789500,-71.471609500,21.9	
41.732482100,-71.471070200,23.5	
41.734151600,-71.470413700,26.6	
41.735793600,-71.469641500,29.1	
41.737403600,-71.468755700,36.2	
41.738977200,-71.467758500,37.4	
41.740510000,-71.466652700,38.3	
41.741998100,-71.465440900,44.2	
41.743437200,-71.464126400,48.3	
41.744823300,-71.462712700,47.5	
41.746152700,-71.461203500,36.2	
41.747421600,-71.459602900,29.3	
41.748626400,-71.457915000,24.1	
41.749763900,-71.456144400,21.8	
41.750830700,-71.454296000,21.5	
41.751823900,-71.452374700,17.2	
41.752740600,-71.450385700,17.1	
41.753578200,-71.448334400,17.4	
41.754334200,-71.446226700,15.9	
41.755006600,-71.444068200,4.1	
41.755593300,-71.441864900,4.1	
41.756092700,-71.439623000,4.3	
41.756503300,-71.437348700,7.5	
41.756823900,-71.435048300,11.2	
41.757053600,-71.432728400,15.1	
41.757191700,-71.430395300,10.1	
41.757237800,-71.428055600,14.8	
41.773912100,-71.428055600,15.9	
41.773843000,-71.424545200,15.7	
41.773635800,-71.421044700,17.0	
41.773291200,-71.417563800,17.9	
41.772810200,-71.414112400,8.1	
41.772194200,-71.410700100,10.3	
41.771444900,-71.407336500,13.4	
41.770564600,-71.404030900,4.3	
41.769555800,-71.400792500,2.3	
41.768421400,-71.397630400,2.1	
41.767164800,-71.394553000,9.6	
41.765789400,-71.391569200,9.6	
41.764299400,-71.388686900,0.0	
41.762698800,-71.385914000,4.5	
41.760992300,-71.383258000,0.0	
41.759184700,-71.380726100,0.0	
41.757281000,-71.378325200,0.0	
41.755286600,-71.376061500,0.0	
41.753207100,-71.373941200,0.0	
41.751048100,-71.371969800,0.0	
41.748815800,-71.370152600,0.0	
41.746516100,-71.368494200,0.0	
41.744155500,-71.366999000,0.0	
41.741740300,-71.365671000,0.0	
41.739277100,-71.364513400,0.0	
