latitude,longitude
28.74164833,-82.71669361
28.70662639,-82.49635250
28.68570361,-82.36523611
28.65170889,-82.15468333
28.64517194,-82.11489500
28.63327917,-82.04166806
28.56389417,-81.95692333
28.32894028,-81.95530083
28.30772972,-81.94919944
28.19533750,-81.91752194
28.10020000,-81.89076944
28.00846972,-81.83190500
27.92794389,-81.83171194
27.78299417,-81.98085139
27.76680833,-82.06589528
27.68102250,-82.11139778
27.65511000,-82.12509778
27.58450639,-82.16242639
27.41477833,-82.25202361
27.39196472,-82.26297611
27.24553278,-82.33415833
27.18329194,-82.73331722
27.49996167,-83.10835361
27.53528417,-83.14866250
28.15830194,-83.20832944
28.27375250,-83.10793389
28.30531639,-83.08094972
28.55532333,-82.86782472
